2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,<1
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,<1
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,<1
2023-06-18,17
2023-06-25,18
2023-07-02,18
2023-07-09,18
2023-07-16,15
2023-07-23,15
2023-07-30,15
2023-08-06,16
2023-08-13,16
2023-08-20,17
2023-08-27,18
2023-09-03,18
2023-09-10,20
2023-09-17,22
2023-09-24,23
2023-10-01,22
2023-10-08,22
2023-10-15,24
2023-10-22,24
2023-10-29,22
2023-11-05,26
2023-11-12,24
2023-11-19,24
2023-11-26,25
2023-12-03,25
2023-12-10,26
2023-12-17,20
2023-12-24,15
2023-12-31,17
2024-01-07,21
2024-01-14,22
2024-01-21,24
2024-01-28,23
2024-02-04,24
2024-02-11,25
2024-02-18,25
2024-02-25,27
2024-03-03,28
2024-03-10,27
2024-03-17,27
2024-03-24,25
2024-03-31,26
2024-04-07,26
2024-04-14,31
2024-04-21,29
2024-04-28,29
2024-05-05,29
2024-05-12,35
2024-05-19,33
2024-05-26,34
2024-06-02,36
2024-06-09,31
2024-06-16,29
2024-06-23,27
2024-06-30,25
2024-07-07,25
2024-07-14,26
2024-07-21,25
2024-07-28,26
2024-08-04,26
2024-08-11,29
2024-08-18,33
2024-08-25,35
2024-09-01,37
2024-09-08,41
2024-09-15,42
2024-09-22,45
2024-09-29,44
2024-10-06,47
2024-10-13,49
2024-10-20,51
2024-10-27,47
2024-11-03,52
2024-11-10,55
2024-11-17,57
2024-11-24,52
2024-12-01,53
2024-12-08,56
2024-12-15,50
2024-12-22,37
2024-12-29,36
2025-01-05,46
2025-01-12,50
2025-01-19,52
2025-01-26,56
2025-02-02,56
2025-02-09,57
2025-02-16,58
2025-02-23,60
2025-03-02,59
2025-03-09,62
2025-03-16,65
2025-03-23,67
2025-03-30,97
2025-04-06,73
2025-04-13,69
2025-04-20,75
2025-04-27,73
2025-05-04,79
2025-05-11,78
2025-05-18,84
2025-05-25,79
2025-06-01,80
2025-06-08,83
2025-06-15,78
2025-06-22,80
2025-06-29,78
2025-07-06,78
2025-07-13,78
2025-07-20,79
2025-07-27,82
2025-08-03,92
2025-08-10,84
2025-08-17,89
2025-08-24,89
2025-08-31,91
2025-09-07,95
2025-09-14,94
2025-09-21,96
2025-09-28,96
2025-10-05,99
2025-10-12,97
2025-10-19,99
2025-10-26,95
2025-11-02,93
2025-11-09,100
2025-11-16,100
2025-11-23,87
2025-11-30,89
2025-12-07,88
2025-12-14,82
2025-12-21,67
2025-12-28,64
